symbol	TCGA.D8.A3Z6.01A	TCGA.EW.A1OY.01A	TCGA.EW.A1P3.01A	TCGA.EW.A2FR.01A	TCGA.GM.A2DA.01A
EAF2	5.47681425071219	4.81849985848657	5.39369945397461	8.31740580163886	7.26706172128912
MYO1C	7.75022611768618	4.68928753276705	5.72754672926545	6.76766235995061	5.00917360204757
NCKAP1	7.49829507497722	8.27446038114845	7.76082225844751	9.72749638784116	6.58232818358327
SPINT1	5.36902180684833	5.04315208785807	4.08404931191578	4.17451193075841	3.24891197023875
MYO6	6.76068322149849	5.63996987456178	7.38975151586282	7.3735214343872	5.91438161189305
SPR	8.02580445616511	6.82448145265842	7.82336595002612	6.47723296811322	6.81163110295508
DOCK11	5.20678086607165	5.07277278410868	5.88913034710595	8.76686640146321	6.31503010218984
AXL	5.34298658139241	4.36655388608015	4.53758108802695	7.40135490433911	5.54954076146816
ADAM9	5.94483089137581	6.45919376926746	4.6297960800448	9.24483124718169	5.34289505996709
BEX1	3.99243285282706	13.4691012146468	4.2950363136953	4.9323821838417	4.41657045757178
PXDC1	5.46051133548785	2.91358418075444	4.60852512606341	5.69138380067138	5.68856376597155
STARD10	7.53995633998428	5.85582088551607	8.50685548864818	7.10593404102826	7.07569775293875
GAS6	6.03493550382698	4.71658477822614	5.25987676669267	6.26673767319794	4.48501864862305
SUSD3	7.33607252676883	8.78472361460848	6.29629524526602	2.25366762047398	7.7497477041688
GATA6	3.13095752404235	2.31039179527327	4.43196803395485	3.81675650726781	3.23093534512097
C19orf33	6.0362633890004	4.89699357378835	3.17087516312608	7.84589040084208	3.76559426308073
GBP1	2.56871962726178	2.86736418084075	3.531695266514	5.04930912596973	4.32505299538939
GBP3	6.04086138665721	4.96328662762821	6.11169919860553	5.91650800012549	5.47232611625059
SEC11C	7.57020007244459	10.3088516479785	7.96024763196215	8.46114197521988	6.85047675780032
NCF4	3.43106225972937	2.96385051499119	3.58829474114852	4.42390806799096	4.65598125392674
GPRC5C	5.995506288945	5.15527538514436	5.59355905229155	5.52261361648562	3.36864546651133
CCND1	7.37395666043445	4.73358639201032	8.73761200752903	6.8432765427443	5.03121110456047
NRROS	4.02357299196355	3.20187689655501	3.83348274244336	4.09127601662254	3.95173967129732
SIX4	7.44765535731085	6.58215868082744	7.28484373331376	5.60604269381827	6.0763073402001
SAMSN1	3.19221526742326	3.06767303878142	3.95738428951035	4.69965497360054	5.96605447978951
SCEL	2.49213730834636	2.49213730834636	2.49213730834636	2.64297366379027	2.55493235326871
MBOAT2	9.05236794625559	6.19771521495544	6.15363747817696	7.82645123646068	6.28442563852838
TNFRSF21	5.31963776049492	4.10023497444005	4.97624557792369	6.12465909048986	2.24738313552812
GLCCI1	7.53029493400308	7.78377418954417	8.28045797474886	6.27629484768142	7.66805409107557
TMBIM1	5.35931104483695	5.27032535139476	5.22096516464798	6.14704236228736	4.88875846019507
NMU	2.06157888266257	4.85662785340135	3.525667014321	4.3386721091334	2.06157888266257
BLM	6.0097895485987	7.31344276210788	7.43704738655732	7.35341773428293	7.81533517786396
BLVRA	10.0239188526866	7.29231313540619	9.81101798143018	8.37353502650302	9.12302965898355
BLVRB	9.71533241575062	7.81046114324227	9.18594870586969	8.51513581871908	8.32984869978488
BNC1	2.59472466717188	2.51773910056019	2.46693592662053	2.52295009850046	2.58840746148602
TUBB6	5.87710897936113	6.33520525650618	6.42397513165925	9.44336725951868	7.38616537268524
BMP4	3.9232853430368	7.5348363626618	5.34289408672776	4.24498075159218	5.46410149457278
RFTN1	5.03905841915415	4.67382078160127	5.08896854997948	7.34176310923246	5.8343247880062
ASAP2	5.74013022560201	5.53047818229182	5.14369911963765	6.87278209656634	6.25000662366833
SRPX2	4.51921276162742	3.13556173465385	4.13520679024889	7.22188603506454	4.19068897661769
SULF2	6.24524708623212	5.04247742753394	8.08052556805572	7.8912779896247	7.02513330054218
GJB5	2.93070976432733	2.4194536008504	2.31793650704966	3.88731507779612	2.14986594238343
CYFIP1	7.74776378115004	8.08017929623619	7.47022995706546	8.47559755964258	6.58021332356155
FOXL2	2.98533553622966	2.93093356786639	2.90939912547794	3.02518967663238	2.94678167963202
GNG12	5.70514722394665	5.95628915714251	6.46713289191111	7.27615090795362	6.60130237587999
BAIAP2L1	6.14424758037777	4.97798968978135	4.86559735491972	5.12991649643782	4.01399439620082
IER3	8.33028116288319	8.15955774377378	9.8465629827793	7.32553800929316	7.17380482565627
NFIB	4.13565799647075	5.02143665562021	5.13452218684694	5.30598729455632	5.46868108632593
SQSTM1	9.13307728730008	9.32808029271444	9.12999217321597	7.95244684805733	7.95205852754966
KLF5	2.55724027523676	2.26231880024589	2.27730333257564	2.66129635239615	3.77483217184244
GLI3	4.98497403917618	5.13147805411586	6.40226445913781	6.06587618440177	4.30925631972248
BTK	3.33930771389002	2.82251845558925	4.32970140246647	3.99922342036606	4.84296285923176
SVIL	6.54519319084186	4.53500070205405	5.64744152174789	7.13930993649782	4.77727819258264
SYK	2.91403970335806	5.14731058897685	3.52354479535258	4.63904237956958	2.66982978683884
TSPO	9.35641196307231	8.23695830204163	6.64768777546343	8.35045879599394	6.97436011192825
P2RY10	2.32565164348528	2.37722309137599	2.33515015931949	3.45260905330067	4.56401784513741
TMEM131L	6.91281777621531	5.92239213323484	5.29728559550618	7.22926211036507	6.62150459542256
C1R	4.60815633800954	3.57961193925782	4.84102276638145	7.08092676344611	5.29382643830872
C1S	4.16856993167838	3.17132042777926	4.18933230241005	7.26310998175017	5.18765347481413
C3	3.7895165343523	4.35505448648521	4.69012993942882	4.02820419151059	5.48430967584437
GNA11	7.69494611181447	7.12263154712994	5.52348962044021	7.51877377322349	4.91217244049884
POPDC3	3.10002520602799	3.18506955589064	3.20344074608139	3.80277979359804	3.1699471224025
SGCE	6.02717440060751	7.83315340952693	9.1095274139405	8.47673647802954	7.79271665504883
GNAI1	4.66653021123741	3.18515727575984	3.83374997928526	5.383556443205	4.357651281715
CKAP4	8.83351221114296	7.27345583955035	6.9941377924626	10.3468082724615	6.32008608351187
TAF4B	2.68585944018757	4.80896611538219	2.50267886839881	4.0536127815972	4.26496561439429
TAGLN	5.21551833998692	3.87696993784984	4.88291597351537	6.92768314516934	5.53014198426903
TAF5	6.32497768104853	6.82774847377567	5.95068001541272	6.81261490889519	6.11496796281732
NME3	9.21774866246269	7.28373657177256	8.59580456701124	6.76056595095026	8.82283423303505
FERMT2	5.54622593713004	5.49524490688067	5.78824343252919	8.19873968492723	5.67074009638281
BEX2	4.10435643741702	6.45164112573708	7.98752400118998	4.84405815840263	3.46554327215152
RTL8C	7.71214603218009	7.89387574620883	7.5668457459447	9.01694736629446	8.47444437975771
RAB32	4.24723941704594	6.51748361435589	5.19591220440916	7.18202430606905	3.8128255496698
CAMSAP2	5.38078674880194	6.04776192350865	5.09375763559786	6.83909089251982	5.3721136975034
NQO2	6.59391455230593	6.87759075558229	8.21307096840064	7.68796120871785	8.38343140522921
NLRC3	3.47253006910076	2.81528385149204	3.46117406546217	4.20511525524059	5.20468863175884
WWC1	4.79295855917121	5.27997323236915	4.60571824336071	5.34357114477271	4.6565324080415
ADGRA3	5.99697658509346	5.83976051722727	3.73720617024521	6.89619395542402	5.77643146682883
SLC27A2	3.6875097788619	7.7953044383141	8.38760818783592	3.96672172277847	5.64101157766903
SFN	5.30094162449098	4.08987189289947	5.33588997121124	4.36708302989686	3.90976198342717
KDELR3	6.88155592937293	3.91149061252888	6.82484609502799	7.59939367380473	6.00187028504651
DDR1	6.44988802060807	6.42104468546268	6.28056499596613	5.99171805873628	4.64446774357558
TCF4	6.95915226420036	5.53076523931701	6.40465672872113	10.3302597046305	7.72340765946981
P4HA2	6.92460281161583	6.95605947580632	7.30620512748041	9.32097541493415	5.43782752041012
TCF3	6.59624408484587	6.08425421941274	6.64833404940674	7.09253698227605	6.04265627078105
RAB31	5.72553504075473	10.588692833982	7.24488819161992	10.1276600930471	5.54773019872743
ZEB1	6.43106115170533	4.87976032650988	6.01207736228376	8.63742626023942	7.0420181623063
TRIM2	4.59284449118629	4.18652896568721	4.24803310688223	5.74830248880761	4.553858441835
RAB17	6.39920233418325	5.73290957908411	5.79160615764762	6.07898159396609	6.13681358237435
CALD1	5.7515175817649	3.74578910579336	5.34969233995731	9.2317092784889	6.08070543802155
PIM2	2.92062656775707	4.63602418362845	3.69171393228301	3.59301549655414	4.14209828800962
GAS2L3	4.82534868596435	6.0746322669899	5.58541508663327	6.49247317014716	5.20042492363138
NT5E	3.3241042438328	3.70035737989257	3.20261852346514	7.31973731774668	3.86592068125347
CAPG	5.81509778993799	3.95270607161421	6.0847895177741	7.59053052299812	4.17670362556048
CAPN2	9.20226120545955	6.10662843641325	6.78897966832455	8.03129623648197	6.25891406020533
CNTRL	6.56875314580329	5.44876851584163	6.52931932680616	6.23599504503144	6.71642139553496
GPX2	5.33059041522878	3.41007485307079	2.83735136003926	4.14494379995339	2.78631001401851
CLIC3	3.64935985591629	1.14652839755458	4.03661462218726	4.61600348753371	1.90635839904665
