symbol	TCGA-A2-A0EP-01A	TCGA-A2-A3XS-01A	TCGA-A2-A3XW-01A	TCGA-A2-A3XX-01A	TCGA-A2-A3XY-01A	TCGA-A2-A4S2-01A	TCGA-A7-A4SA-01A	TCGA-A7-A4SE-01A	TCGA-A7-A5ZV-01A	TCGA-A7-A5ZX-01A	TCGA-A8-A08X-01A	TCGA-A8-A09M-01A	TCGA-AQ-A54O-01A	TCGA-B6-A402-01A	TCGA-GM-A2DB-01A	TCGA-GM-A2DF-01A	TCGA-GM-A2DH-01A	TCGA-GM-A2DM-01A	TCGA-GM-A2DN-01A	TCGA-GM-A3XG-01A	TCGA-GM-A3XL-01A	TCGA-GM-A3XN-01A	TCGA-N5-A4RO-01A	TCGA-N9-A4PZ-01A	TCGA-NA-A4QW-01A
MATN2	5.57108655056623	3.16430984079538	5.49631137987679	3.2342020495263	4.59052898949208	4.11799583168677	5.03766107219782	4.86397098088017	7.67402027917815	6.72701769370155	5.56413967584881	2.35999204338623	1.6174242671037	1.56452953277243	3.64279895785181	3.26827147752819	5.34658224859932	2.08901715767751	4.88850482580037	7.9083626536519	2.41569405203424	5.43861484228812	4.06749633363042	7.13874361007054	5.58133422454172
MB	3.51702328303513	5.46371388521157	3.93974579802756	5.80731742957214	3.24227728546329	4.65368915424521	4.46187225077652	2.67303645721683	1.21757745792077	4.23004410129968	4.79821617042472	4.9112145635232	5.74203808130208	6.45754954883051	4.93694465959074	4.36653557497181	4.71296781271743	3.49349302364065	4.79705388893233	4.37613608410114	5.52065308193504	3.2223713035868	4.17456458652601	1.37434568707677	6.60151558115843
LAPTM4B	5.28052842195195	9.71919142232104	6.56450205058028	11.2697815039999	10.4051630457162	4.2793723428212	9.94071161536161	9.91654859230397	9.72752550562518	6.96713186457738	10.1437841460487	9.01934309429395	4.9789131607952	10.3351131682712	7.1239267013891	5.9864871954859	9.78634132504585	7.19440509063004	6.21083567227603	6.88846335960443	9.33055102137879	6.57579628421362	9.36581660077987	11.9429263666194	8.71933637855794
S100A14	2.59815101073148	4.87211388233834	6.33836840737027	3.80755923787923	4.49353756436112	4.94852450632017	4.61421803822938	4.45107268161077	4.65034847215065	4.17029397016291	5.42717100199116	4.87126787800276	5.68195108510599	6.4670308452048	3.45460868023212	6.23667760339086	4.35160183204557	5.71662296835737	5.65914424881055	3.98887298063436	6.12160108835558	4.14141054872933	-2.67068712714461	3.68949651993878	-3.518235197437
ACTA2	5.35392229484209	6.66695117561028	7.23162324124642	9.37480699479354	7.93854352830252	5.0411065223751	6.80105058514912	10.0540010329678	5.38580816815957	8.64567940719046	8.39118682978409	4.42461789640278	5.88447423846692	6.01826953381541	6.18136694659278	5.50495453575053	5.30425234013514	5.14429466180213	8.03998438282947	11.2223556716816	2.56901012963954	8.02189846501623	2.38780558777268	4.73744807276585	4.94304588798652
TBC1D2	6.07590981738831	4.77221929014257	7.18275852676192	4.10168623665886	5.63718523433056	6.79803311247267	5.97415853621676	7.16404826159824	6.90577983981197	5.62635423852823	4.66396280659557	5.36665743960257	3.73543198717763	3.34122272793369	3.22931547881856	4.01274723860604	5.50491103388233	5.4668896725835	5.77550831574108	5.39827156835219	4.17172521383845	6.33076198356484	2.58786944321293	3.44047869430812	2.77233654958025
CEP15	6.58798541796578	7.39522791364912	5.70309384625992	6.00306780289736	6.03738380155421	6.30364268802256	6.18130810854162	5.70592477594171	7.08209696658141	8.76813799091697	8.55867330287411	7.05446231954049	9.36661322103634	6.28052366319824	7.20200081954416	6.83349282993088	9.36334525501586	4.39750024744835	3.1469771543694	8.37972262756277	5.15147760046951	6.56202238650657	5.5461932325457	4.72043535373223	8.17802311469126
MECOM	5.2627987835792	4.17268267594783	3.17617756323483	3.04818943623333	4.36328559691985	4.63086829855265	4.1609063291567	4.29861581643416	2.7171856113686	4.38580181033062	3.7076226386526	4.23063630897019	2.57717866441933	2.8487966729508	3.64832841627449	3.68970107836837	4.15624627358101	3.7785305512021	4.36239725546387	3.50338954381493	2.75235392485817	5.4530246949354	7.9281366905506	9.45033603468747	4.09827192594227
EVI2B	8.35306492780336	4.95995016685303	3.99567975431689	4.46058542841277	5.46304339321554	6.04951033380978	6.45660540063306	4.3947702868879	4.24177206754587	4.42716018774831	7.65578307141432	6.03027979478337	4.03313353334309	2.70704738426207	5.03684428528761	6.7340936018457	7.48160934185352	5.34873519647898	7.60399984010089	2.92677867526555	4.7377688543071	5.47232434851079	0.537618705526746	2.6002923761543	3.20789826118713
C1RL	6.20755671034157	5.9240481593618	5.2335932752751	3.3532173950986	5.96432715670903	6.39842002761089	6.71095358564784	6.81984426913171	6.50620336005997	6.51148311035144	4.58928236736859	5.20402018659281	4.3491738026369	4.49666418646073	3.98522231040149	5.52385118444945	6.92904535486021	5.76859927789685	6.63695921119736	6.34693491485892	5.27313758245869	6.51252219287064	3.54311134930633	5.44714470399909	1.56082960986709
