symbol	TCGA-50-5068-01A	TCGA-53-7624-01A	TCGA-99-8033-01A	TCGA-D8-A3Z6-01A	TCGA-EW-A1OY-01A	TCGA-EW-A1P3-01A	TCGA-EW-A2FR-01A	TCGA-GM-A2DA-01A	TCGA-IN-8462-01A	TCGA-QK-A6IH-01A
MID1	3.32733645794102	6.80990667854961	4.6343516278587	3.55144527438237	4.90375030578331	3.96546338593829	3.49392353716495	3.58230110019157	4.85612589428009	3.91161662043705
OSBPL1A	6.17092193910049	6.74243476084099	6.47857345692764	6.11528053750703	4.54124155233186	8.04284811095281	6.2111032590948	7.54891544579768	6.97787988667284	4.89352675436394
MLF1	6.85897443311301	5.40309354573918	5.05678392977557	4.28264254599154	6.43562495223748	6.06166357656959	6.58223398932658	5.21333087613573	1.89527453694787	5.36155459757344
AHR	8.27847753703888	5.09092219900796	6.17674928211537	6.84693929068992	4.75707888038835	4.7729354416865	5.66265778676246	5.36084490697492	8.22086010093416	5.61516714465084
AK4	6.81901365744207	8.78969609669617	9.62149419821008	5.00066162370527	7.42718751140961	4.93932432581094	6.82694086970722	4.28434797042594	8.69794013630964	7.09009180437212
BIN2	4.64897717938285	7.03681049924119	4.29384138134781	2.94898916533775	2.77232018473148	3.63631486203897	4.37535282417668	5.08016930097411	2.43879735356331	0.805448717444877
SRPX	2.79179771380959	1.89511224528048	1.85256415404867	3.83472014268926	3.88802188525729	5.71228927680076	8.01396583691063	6.7473654041375	5.15855364331619	4.72443965408624
MMP1	7.00111445507503	4.93032744749409	6.54373800244818	1.99975441536328	2.7489012602234	2.26610220050737	6.4866170551004	1.79762749989505	3.78760039939331	9.42264127277569
GPNMB	4.90837514039933	3.62452131620842	3.5677052401482	4.13590246464255	3.63693778823381	3.630065484694	6.88921061446052	4.72798210036878	2.48053955790511	7.78239236005997
ALDH1A1	9.33200676426388	5.99934830248871	3.89056324306027	4.35914110504022	2.60233986275605	4.66151927440558	5.20472365341137	6.02002921800472	7.60925926208549	0.990946173951344
FBXO32	2.83074844951125	1.76144671472933	4.5788139427639	4.82700683057428	6.91374115867702	4.36114939974186	5.40713563505096	5.04114085465519	5.12162091604305	3.12842273355703
ALDH1A3	4.98175633964487	3.9008804787633	3.33945378888863	4.03884539851247	2.17690239913081	4.38932306132801	5.81366173957811	3.5072172477618	5.21821064986618	4.53229803689135
BCAR3	3.02034512771388	7.79078173652402	5.74470840914524	4.07346871630065	4.37470164473083	4.88215913662573	6.29108055340291	4.48999446143675	4.0138986847615	2.58731116556597
MMP7	7.02046567952313	-0.818201439394712	5.35056301861026	4.68053278025128	4.14619092098409	3.76270688920666	3.53234648455553	4.12446092358039	4.57111454751717	2.86251347556065
ZCCHC7	7.69951347716127	6.75974993923014	6.99008006259119	7.15768611950382	6.84698082768562	6.98938716779772	7.6127910218439	8.95349286168387	6.26806044072415	5.09138013133718
ALDH3A2	6.71476322148339	6.90025563218471	7.87143491771371	6.72591227469032	8.49317084293744	7.18118447553891	4.98458737632185	5.02712759623304	7.02419502883228	6.05213758984678
MMP10	5.02055504171396	1.84290658234426	3.04517112776439	4.01962777814224	2.64125238002175	4.38745581308789	4.1574779195466	3.21768797984107	2.68762415678741	7.32739647807137
FHL2	4.11453294751854	11.4105090193181	7.68202885330167	5.94135778028954	7.85697524991711	8.63467346092057	6.77084271759035	4.51778043908894	7.32117552099486	7.12698056454033
MMP14	2.21502975726178	4.71672607015174	4.56893758202688	6.22289321078697	5.11659615630696	4.35250408416848	9.30546759355104	4.71005061990853	3.55660424299683	5.83515096429669
PRKAG2	6.37321350423953	6.73708890943328	4.87764665371297	5.19659112327011	5.71097976349453	5.97723263111202	5.72491042150809	5.11460413436853	4.00316872742487	1.52648468628667
SNX9	3.54644946304302	7.19842509868814	5.53055074508171	6.3054464349785	7.3847954725715	6.162649987799	7.92757085204193	7.36870532277236	7.15782816577024	3.40327852287697
SDC1	5.95414756908158	5.26238442508847	4.89706636308025	6.07572186654215	4.51126910256954	5.50251308759934	8.13921713910107	3.95852770459917	6.01460175132168	7.67955263984188
SDC4	8.33888826313729	7.87156465356078	7.84537664053788	6.348872904513	7.69422857076653	4.98272798583681	5.50420033636737	5.22150753919379	6.78662101049231	6.56522550165456
CAP2	2.58795914065707	5.15905128257632	4.08938511319107	5.81322842644764	5.14754418736174	5.93194347659093	4.93112760836989	5.75100114354228	3.98701263805037	2.1129817822012
FOXF2	4.96998630143828	5.10444846295437	3.59505996887173	4.73600373720686	2.2293807941757	4.33989231372676	5.41863744158997	4.35196678705012	7.13664200860843	4.81623237655681
STEAP1	9.56232296177304	3.15293021669323	9.38887365014863	8.45848672544991	5.68663585510213	6.73803598653541	7.33979453505877	3.45865603333229	5.74353540354399	4.97470646454508
FOXC1	3.46454931826774	4.47610683791293	3.01173703767926	4.05244370814202	2.85320043797101	4.12068490814595	4.61577166247067	4.36138308772115	4.80661791656456	3.82404130239629
GULP1	9.3602105696349	6.26493621265662	9.2323201825818	4.65144248138004	2.96630790378764	4.18674168238486	7.54617396206285	6.10265920765924	8.02469054265332	2.40019839249832
MUC20	3.90625704594635	7.01189302120636	5.85230869233818	4.61265457266797	2.90068425961021	4.29627082537688	3.29546263616658	3.71869486572005	6.8695719486472	1.71324178946441
SELL	3.96685768338686	2.99883761841231	3.62905796215809	2.26520298916809	3.07157725104835	4.47580098290967	2.62663310709875	3.74056848092659	3.04721138004765	0.57256187822416
FLI1	3.95092155414293	2.58149635697989	3.61487617980763	3.62581137453089	3.08078911373562	4.16645573555239	4.96713794647663	5.19032514174539	3.14075460006423	1.80366841419533
EVL	4.03076234867049	3.78492305195083	5.22606763921033	8.402930928512	6.00889842402405	7.03310359641751	5.22617979306849	7.77871943112202	3.69327734764261	4.11482282340719
NID2	1.57191572575806	4.14294020073253	2.65628635981857	5.02881280431681	3.06878788557412	4.43158209262399	7.21687468149225	4.88117894058291	2.81892599680424	1.37968251914156
FLNB	4.21894654218051	7.96362958079619	5.61317996985226	7.09861651032164	8.30683163758115	7.30237389142749	6.48699533681006	6.24370068652315	6.75470566898317	2.77036368120021
SELENOP	7.69542231096704	5.32847935505626	4.59002231823023	5.42285778056923	5.57298002077041	4.13950376773486	4.78200691542363	5.78185832757271	4.54064355421025	1.20972724203856
SELENOW	10.311588972542	6.48396875719031	6.66173777171076	7.09134219829594	7.31740074835141	7.39821206552931	6.44164216626871	6.4266866512352	7.46337536663116	8.20650181328252
LIMA1	6.45884125696931	11.8844661459921	7.27126026627279	8.68193216400255	7.13698669689409	7.86288471617195	9.30596352880064	7.8959577301205	7.66814108154819	8.2640561717533
SHROOM3	2.81992320732526	4.17905673921199	4.03121943330883	5.73446396881949	5.48176103596389	4.59433939185896	4.4098334725123	3.97777951415436	6.1807957944737	0.342011041128711
ASRGL1	6.04255615076054	7.41104755678489	8.77290765360187	4.61315311978945	4.26735119643773	3.8882293320045	6.76973789844651	7.23243433927869	6.98194908533007	2.17164812546476
ITPRIPL2	3.00187884070801	7.47392340062902	6.95892549758119	5.68796598458676	7.42929748532142	5.74766255169651	8.07716793564068	4.62072372365969	6.05783810937497	4.43242987266106
ATF5	5.20396529904496	6.36603153583399	6.18420068729698	6.14954745709255	6.37245108031011	6.33498633779505	5.95727977062966	6.54617248517582	3.69556265498353	4.39684422398909
ANGPT1	5.68503469413998	4.96612898491474	2.94642039235298	2.70884709040835	2.52172171085818	2.82076900230889	4.22230775776142	3.13378979151315	3.41588622250162	2.09855168885484
FN1	3.34402940596892	9.19610291207194	5.84309790598584	6.77247442213947	6.53045604804878	5.99265186450576	11.231895473813	6.43344134962518	2.39656110385911	1.64624810216174
ANK3	2.70383652958277	6.58654268404123	4.1040243808449	5.93246632990303	4.39392411977439	6.21260794142814	5.07718494815562	5.43117983117784	3.78726685228847	2.22814167845787
ARHGAP23	2.72873627933567	4.97237566661452	6.16527599563866	5.42412691009196	4.49806409545479	5.53338207759965	6.55603770281482	5.20538253149987	8.6767559696112	6.79876666878065
PHLDA1	4.94296152384055	2.98344162446442	5.52656877316076	5.27026592255448	5.36570048031331	6.69249600045144	6.74009600401491	4.79101339920564	8.9830976426636	8.49407921018619
EMB	6.20022039263387	5.29131138970206	3.57114155098697	4.63083386217834	2.9655521757824	4.82869538066926	6.39250826340986	4.92426032217473	4.72030077788056	1.08241514642392
ANXA1	9.43427525307879	9.52213353246426	7.98576606782899	5.62458486877677	4.61902012487174	6.34849830337837	9.5253115365953	7.90328021997083	14.7115692205296	12.8159963427347
GPX8	3.43378661495801	6.12595101479515	4.1238259542318	5.56618636893248	3.22954051996603	5.42529647190471	7.80514997524798	5.12401288307294	1.49923738414632	2.72817857526935
ANXA2	8.67746573720833	11.1571389476428	8.30871045186192	8.19971400981415	6.46427850515777	6.88988613800424	8.20305931527183	6.89101888643616	8.09474235182784	9.67138485074419
SGK1	6.871614609943	6.83078930596687	5.84887391012045	4.57301645759072	3.67015720191794	6.0165366321649	6.2778670395632	6.08598571821353	6.93988955551789	7.47866093246547
FOS	5.59601090899545	4.02218903307056	5.95486932507278	5.3000268165859	4.79987567831746	8.46147856067886	6.75160449991033	7.03948572589564	7.08234983460207	5.82666720424177
ANXA3	7.62998069848916	7.04395013322181	6.47390100712163	3.67349701635337	1.2276015558178	3.97658598427523	6.87157661459641	3.51973414745736	6.9791870616458	5.77371107803101
DDX60	5.53990865904569	8.64666645723571	5.47205794890817	5.8331848100197	6.40735012513411	5.90116209230694	5.20430238404578	4.66044210885014	5.52496139597925	4.77778131458219
RHOBTB3	5.78006282156209	9.99138019289638	7.05697150354925	7.82494720014084	6.64021787429331	5.6292211795398	8.15127570883755	7.7454286849872	5.46768396031224	2.73230210572483
ANXA4	9.41655891768114	9.68919696010339	7.94167519317382	7.02106275048312	5.74209664214567	6.59965555171357	9.152697341909	6.911246377877	9.16543666367873	7.40267388982995
TENT5A	4.29968423259497	6.10201090721725	5.83281922735308	4.59123784682983	3.92991167447081	4.26957677310421	6.09220642807342	4.45411263559704	8.31452154119347	6.2055037883388
AGR2	5.49987500790881	3.25847224987554	6.01230213308611	6.25343984993787	6.41279545585398	7.47223653790759	5.69049992698364	5.4672362051984	7.12615784253382	3.73868110904469
RUBCNL	3.42317357862547	2.93810361884442	3.28613146157564	3.16329977310129	2.28000174603472	2.80332678678662	5.37879637007005	3.57411121858079	2.2377016108565	1.93568544545609
HTATIP2	8.28847823186225	10.3201624951152	10.4206606161733	4.91223733314824	6.05816978670317	6.27584536314675	6.24466643036892	6.60550989124719	7.05176204154808	8.32542491367454
ENC1	6.44465430382962	4.56595937200907	6.37827448389389	7.05848825554732	5.27795254313559	5.0015090110365	7.86723416861478	7.17878178511414	4.58315824822135	3.52431500848994
FERMT1	4.9104871890922	4.32606651329088	6.29495389928392	3.54426858599946	2.91848681744577	3.00592429588471	4.11392536832266	2.8865301068404	7.09167710833376	6.89536266241668
DOCK10	5.11036125730052	3.5929644028831	5.06359147100474	5.63531848338373	4.94147762997474	5.54366828269753	6.29895900183487	5.71758335538601	3.04456653722474	1.8032206633397
STAP2	5.11453748198311	4.58437626786098	3.59815089925758	5.51757768328288	5.04140162673716	5.8817652321746	3.73875690296956	4.0212933453278	5.03502985956555	6.56265894885478
PRXL2A	5.35991599268392	8.27057654284564	6.49575223311859	7.32679871843887	8.3035397024584	8.58461149882881	8.77062614077898	4.68028083858177	6.38936315728571	8.13580394978794
IFITM1	11.1145218304587	9.67392445666456	6.86923386109718	8.04997960151212	11.443812844202	9.12413784471888	5.66747192410444	7.61411332962193	8.75810122328261	4.33903063029737
MYO1B	6.43511442461266	5.06376457585326	7.18645103847702	5.04478836452137	4.32190117011277	5.86453486850864	8.59716851979803	5.82317393615504	5.32190813645704	7.41032671204154
CCDC80	3.49754935354405	4.5821674051848	3.75200886132794	4.27477867898086	2.55366233702401	4.11967794307252	7.02211710377632	5.31725908965969	4.45819935213582	1.80532535531342
ST6GAL1	4.23972298154744	5.63969063592618	5.57208312117265	4.44001735101404	5.61448584473626	5.44671007021558	5.62046284451037	4.47191101308618	3.68036877490193	0.370649158149307
YBX3	7.54991637906015	10.5455589844732	12.3389748337386	6.86204494415377	8.52820873529016	8.50831334227939	9.1977069689335	8.4113485008669	11.640446102868	11.9477309860469
IFITM2	9.22767534977048	6.91625889948259	8.6833085612022	8.41679128291626	9.64684241172511	9.94794181777861	7.11334120223299	9.21150178250212	7.71503046220382	3.40025962447081
TMC4	3.57313606791221	5.69349315222833	4.82232950082434	7.02709887022952	5.76830926856355	5.63914864187218	6.53464211250242	4.76148883958039	5.27957155467492	2.59171228256289
APP	4.77786427625444	7.72479408310392	6.66309670738744	8.04455021444828	8.21447311136431	8.67895484854006	10.4107215707279	7.17794293317389	5.58401042729983	8.21639614386718
PIR	7.70971621115736	9.6237965971327	6.94017926057365	4.90491898935451	5.90901800989063	5.83584451907924	3.96324193178391	5.19874408528052	4.89454516189324	3.98272524381389
SHTN1	3.63197679064217	6.78819505814176	5.30405967051006	5.88807455149309	5.28406289180044	4.99158664662049	5.08528907047942	5.23544533806995	3.97023420521423	2.18487961825472
ZHX2	3.49740655876493	4.55041514746071	5.57098711259027	6.66836638660135	6.1668301646409	5.42577749363757	5.81147528702593	5.51631388488933	5.05151344141472	3.71090825545006
SLA	3.932757824797	3.35828927375655	5.50207436866185	3.11935571633077	3.02485382553631	2.49063180228053	3.91685672168791	3.70945570831599	1.76230017497303	0.773515614844294
HVCN1	4.48769148676236	3.92255127196161	4.91711493383765	3.69012823303817	2.6079764629507	3.53715231713281	4.80121247884362	5.06327969105509	2.72850410431808	1.86742578146923
WDFY4	3.30334648607873	2.88274004036202	3.92711481197101	3.67431177106182	3.30636456415447	3.44078271485194	4.31551473654357	3.83266428732174	2.57427064306666	1.80697625316965
CDC42EP3	8.52248902302291	6.5649492509975	9.15930652001004	6.22394640054484	5.94212289464439	6.31540463880588	8.25167933500044	6.2716625962284	7.0248582350687	4.51367332724201
ST6GALNAC2	2.64164659244287	4.96290747617187	3.61432998710862	6.26263049804813	2.97915788992859	5.64454617690059	5.35027025434646	3.67878887679242	2.9724308157047	4.57620258131114
GPR160	7.61049398044587	7.03637963638976	6.88204326973072	7.92970057757525	5.57738705599045	6.81994420221477	7.39989149294405	8.24173410955557	5.86509857096863	1.64466927664957
AREG	3.7360841808394	2.44252072260171	4.59286892713844	5.73435232009688	1.31166377763581	5.92119919803242	5.01412162700139	3.64584578910288	6.30050868802644	7.35274497285655
CYFIP2	4.94626215668726	4.23988701116706	5.77047752720168	4.08270582676571	7.0171003253524	5.4792220357361	4.83214623128004	4.25078124693144	3.79720554071886	2.19188078821254
PDLIM4	2.34754806715586	3.31235935540526	3.54352651970068	4.67454351548547	2.90773348303604	4.46832948133981	4.88619801249628	4.03511671190096	4.73134534353325	4.68047805302171
MSN	6.05955559293981	7.51197096473517	9.23278970505732	6.63959294912616	7.34359792014419	6.83223161992122	9.35903107042535	7.22838625371146	6.45225458567831	7.83055663380101
RND3	4.66331955064337	5.74762912855293	6.36426899460783	2.63427785433516	4.28205087608308	4.52717693819817	5.79907249303215	5.74643547305298	7.85968889565796	6.97265883210179
ARHGDIB	9.41322823825814	7.22698484861347	6.54041602117809	9.2252139752721	5.01390446084449	9.21293172054809	7.67866578170562	9.91019443625379	4.65806735541848	3.04008781261451
MT1E	8.38367600449945	8.11774058093216	6.56917112094805	4.14724371778067	4.13568642660947	6.2347998919043	5.53109514306012	4.1452946638866	5.5130639934215	7.47695941265619
LSR	5.68524191130014	8.28219324936497	6.81923423931062	6.35800512207752	5.65157483776972	5.59428295982082	4.58269857772319	4.99033240586452	7.6470687471808	5.28059937539365
IGF2BP2	6.02286268342039	10.9860629100131	7.58099461251352	4.35914466145192	4.09147457136185	4.12929406482601	6.18422738643024	4.53062476047178	9.10548390116089	7.20401283824669
RGS20	6.95905135465104	7.84342735442317	7.83637976608343	3.4944816837726	3.52568156804559	3.74278527828037	4.4584569541142	3.68381499698852	4.82777490933129	10.3221741084011
SH2D4A	4.34138165163477	6.55680436289022	5.93444403997123	5.03865311976311	3.23454996227966	3.76375669127485	4.37098000958783	3.95450175250871	5.4034317859241	3.50500793843393
SPINT2	5.8507046024524	9.79997480598172	8.96095581282057	8.72658582440459	7.39399963043718	8.20133707653332	11.124620243249	6.45545294977561	5.28954364079776	7.11087625621278
DKK1	6.771524755671	5.80877816222899	10.4031552307546	2.61408030088604	5.7053432981679	8.20434032939528	6.31653653604578	2.23816691478869	13.401585854506	4.62016434361012
