symbol	TCGA-3A-A9IC	TCGA-D7-A748	TCGA-HZ-A49I	TCGA-IB-7888	TCGA-OE-A75W	TCGA-VQ-A8DU	TCGA-VQ-A8DZ	TCGA-VQ-AA6F	TCGA-VQ-AA6G
NLRC5	3.51551600744814	2.42395087148751	4.05824635392425	3.97189572334644	4.74317546457852	3.58436262576931	3.00221167575906	4.7944283974652	5.23850138468867
CCL3	3.52221386432314	3.58093680075349	3.58844901562014	3.64538775920082	3.86701975388681	2.57693570206158	2.27655525944513	3.06278711426933	3.2685719237947
BIN2	3.53543802368985	4.93429820916026	5.42672663937178	5.44409210015154	3.1408813558671	2.44200591225939	2.73602800491738	4.50756507727997	2.4783928503418
BATF3	5.92421083012598	3.97169514354791	6.27841971897523	5.95621926729546	5.16931166309327	4.12325164080405	3.21841501783362	3.91825013500508	2.80673441489449
ALDH1A1	4.75430691332865	5.11410783083633	6.07954445259527	7.73330685065155	5.26704054401703	6.65276307404572	6.53958254632475	8.31740100355979	6.57080514963107
FBXO32	7.05989231617984	8.40651727580766	6.96765839994499	7.3523812883968	7.61911970109069	4.20493310412033	4.45278954134877	6.60174543496722	7.42610034375236
ALDH1A3	5.05710124121583	6.90067888063712	7.89161960040543	7.50519472378932	4.0058068506281	4.12511597399393	2.9117819301202	4.87383409715952	3.48814144652828
BCAR3	6.82709791041062	4.47988692537556	7.84597626992812	5.88899806646005	4.88421485847659	3.14810131769644	4.86389003162721	5.99419418676472	7.94304928620111
PRKAG2	5.89076917082531	5.42235857224265	5.75682956869189	6.94002119669098	5.1101990369676	5.29842954015439	5.34986200531055	5.14682858831038	6.5793688238095
FHL2	8.69289458939793	8.26865161407753	8.32344787712238	9.02149304332489	8.63641405034268	4.92513942757596	6.54737254252032	9.55166617640265	10.8091744842069
SNX9	7.72909577988634	6.6198776440581	7.7855434478582	7.90060141108187	5.71027902758142	6.07771000568527	5.43045818603203	6.58732528329002	8.86303751272271
PREX1	4.31748298055512	4.20087910948649	5.3525671812671	6.50857028692604	3.37547049248349	4.89278324800246	4.53111399895393	4.81284079678286	3.61804203188186
SDC1	8.65346174923365	6.95622668584397	6.68377717832533	6.17762012431147	7.809573190319	3.37099192414299	6.39864440957502	7.29957947587823	6.36816754126657
SDC2	7.774838906885	6.72854612669186	6.3848528416261	8.00962169381859	6.29332262541709	6.56807346590091	4.10932222839975	3.96678726680904	4.36202126801426
SDC4	7.73287882126598	5.46133940583129	9.73721211441642	8.29386702441695	9.0808565407237	6.45030833007102	7.73345587865593	8.50878111454293	8.06012788976203
CAP2	6.20439652894304	4.42274992052976	4.90307419369204	5.91132918624114	4.46028093188441	5.93819087040551	4.40564586647297	4.92521244777337	4.30195602077005
FOXC1	6.16432542977723	6.61926325769569	7.17304495481202	6.2355809684148	5.34273901686299	4.51250062037855	7.23319892877724	3.37507567126671	5.62744326610044
STEAP1	6.62633359741378	5.72160052951149	6.50087048214659	7.82424048714412	6.08275110042596	4.91569519463734	4.54106464618312	12.5492641627161	5.60247225602566
RBM38	6.31696511844191	4.40345974998376	6.04523007151677	4.97734506399606	5.10734712097147	7.64168918691528	7.1012664107145	5.44347157215443	5.08288405154293
BAHCC1	4.391607694623	3.8725740753324	4.89165919842927	4.11557723076785	3.76693780041484	5.03278918283586	5.37840828184393	4.76698644562799	3.52911626566823
GULP1	6.37364691327506	6.69270188392974	7.16194466528696	6.87556385947662	5.22699609559588	4.94608767125398	7.16613806072146	6.43789289778381	6.34177334984423
