symbol	TCGA-3A-A9IX	TCGA-AG-3593	TCGA-AG-3600	TCGA-AG-3894	TCGA-AG-A00H	TCGA-AG-A01L	TCGA-AG-A01W	TCGA-AG-A01Y	TCGA-CG-4444	TCGA-D7-8579	TCGA-F1-A448	TCGA-FP-7829	TCGA-FP-8209	TCGA-HU-8243	TCGA-HZ-7920	TCGA-JY-A93D	TCGA-KB-A6F7	TCGA-VQ-A8DT	TCGA-VQ-A8E2	TCGA-VQ-A8P3	TCGA-VQ-A91Q	TCGA-VQ-AA68	TCGA-VQ-AA6B	TCGA-VR-A8EQ
PIK3AP1	6.03946396530741	1.71384545477795	3.65260101744554	0.635865038452149	1.41886071200573	1.07904913057161	3.20807288200207	4.25029068537616	4.20663850082801	4.13082190040286	4.16885756027787	4.29886876969502	5.37820128591195	4.44468711189499	4.49422806773674	5.4832184018798	5.09404198951375	1.74079628743334	3.53484031983281	4.31740985695494	4.90389382211562	4.29731738214826	3.61652917782507	3.01310438628249
EPS8	5.72513419752775	5.6135919124625	6.08988174111862	5.44469048077514	5.83740568762418	5.54889875274699	4.99085681795159	4.74965075415582	7.32985828632286	6.39414432710908	5.57825742989592	6.72527630074842	6.32043762833358	6.15176523872737	6.23587930781873	7.0900446689839	3.9847762034912	6.76253890572982	6.17816960875264	5.16654137955452	7.2255118425581	8.29344509420022	5.6157263384284	6.20008926320187
NRIP1	6.54963513500549	5.54820324094863	5.01080647582068	4.92938292767639	5.47913204730775	5.22396461942896	6.0183630445821	5.83595563119554	7.17786322477347	7.24972385338673	6.42507560158201	6.22069486490119	8.27091902667318	5.80759967584564	7.06077862710126	8.57044301535601	3.80676839970455	6.16342993516903	7.20998071826457	5.65146569230979	6.93657108635914	7.97568964898603	6.85918486853228	5.34809036963929
PLBD1	4.35544652470934	5.46942625580491	7.51388069518791	6.56090345658423	6.14779395907795	5.8932220945592	4.97552152293058	6.77480683682901	6.30065828469179	5.49060605997974	6.44029689670861	8.38352801761839	4.33461409082985	7.86767363074146	3.79685701532441	5.37362257238509	5.21749041248739	7.13687343494892	1.86927907920628	1.34499651193184	3.43593840271781	8.20627676226853	5.38191771900644	7.07906269734663
FOXQ1	3.23257646053053	3.15410603468738	6.01468431575945	4.19648675260155	3.56195397542778	4.98538680620866	4.45670198416415	4.63897236291301	-0.366777476794325	3.78553559733547	5.26685376144395	4.76415173175757	2.19397179039722	5.75039999314814	1.67389575196976	5.55804746954426	6.53951789351919	6.87767234570954	4.58549283131388	3.9112876122937	6.80568391579452	7.23010303431047	5.48356671176558	6.80411249406979
LARP6	7.44582946059454	5.48033614250452	3.37610323077592	7.17505058456676	5.13780903961813	5.45847022233891	5.27200056772411	7.37213423603986	5.34725727904437	6.4887067240587	6.01227092134732	4.83473690513379	7.96854710242753	6.34991877095569	7.35312714261204	6.65227341751038	8.02230104363746	4.53031934508488	7.94180468295931	4.6444369976166	7.32744942432062	5.25418752657418	3.70744421485789	3.37120142750596
ASPHD1	5.53416613122326	5.14204993793033	5.17101673762411	2.05738891922351	5.287374112215	4.12888671272417	5.52979318456421	3.58946182233394	5.58862655677449	5.03453002968774	6.47416605182758	4.18470812410751	3.44141982069362	6.82629181399544	6.19830310849075	6.13059810366034	5.28235505848002	5.74601383437788	2.5265501982336	7.99514305468438	7.10218374788303	6.65660778370276	7.38118971769749	6.7743310762978
CRIM1	5.05238966813206	4.11692236277165	2.97820018570803	2.66349702646051	3.90348077214863	4.29348439890915	4.5282200069961	4.45970713623595	5.20214467799117	5.62114553631261	5.66266134178752	4.15454003981803	6.08855814343384	3.21585662809999	5.30662404818513	6.38489124975153	2.40600706798303	3.18522104573373	4.79501629500985	3.52401863158755	5.15190720174043	5.80122557551077	4.50760808456391	3.90460625401618
EPSTI1	4.46129364455405	4.83417400536416	3.88051713561158	4.94655887598567	8.14424583895783	3.37390845951238	6.41157158171126	8.8102968980002	6.06321766999429	4.69792814567787	3.42328400943219	2.7335666447191	5.20909423076231	1.60375682211797	4.27465654758794	7.01606817293287	4.10354222673758	4.3714952477136	4.58196057246163	1.00208639732251	5.33769333550868	5.16414075729312	6.39258163699501	2.52672993275667
MAP1B	8.38789476473838	4.78892550458415	3.75999430542751	4.13768372358867	4.83966858810426	3.99000517076386	4.06962324307361	4.40740821776228	6.90140980515452	10.3128339345995	7.93547331442135	6.40872871066682	12.5400932485425	7.13048389419782	10.0390808147886	10.5920374805602	5.04394484943565	4.59695967103626	8.16583235974978	6.43745105314684	7.87947314376001	5.35142896030101	6.00729804659685	5.47352375032868
