symbol	TCGA-CG-4444	TCGA-D7-8579	TCGA-F1-A448	TCGA-FP-7829	TCGA-FP-8209	TCGA-HU-8243	TCGA-KB-A6F7	TCGA-VQ-A8DT	TCGA-VQ-A8E2	TCGA-VQ-A8P3	TCGA-VQ-A91Q	TCGA-VQ-AA68	TCGA-VQ-AA6B
PIK3AP1	4.20663850082801	4.13082190040286	4.16885756027787	4.29886876969502	5.37820128591195	4.44468711189499	5.09404198951375	1.74079628743334	3.53484031983281	4.31740985695494	4.90389382211562	4.29731738214826	3.61652917782507
EPS8	7.32985828632286	6.39414432710908	5.57825742989592	6.72527630074842	6.32043762833358	6.15176523872737	3.9847762034912	6.76253890572982	6.17816960875264	5.16654137955452	7.2255118425581	8.29344509420022	5.6157263384284
NRIP1	7.17786322477347	7.24972385338673	6.42507560158201	6.22069486490119	8.27091902667318	5.80759967584564	3.80676839970455	6.16342993516903	7.20998071826457	5.65146569230979	6.93657108635914	7.97568964898603	6.85918486853228
PLBD1	6.30065828469179	5.49060605997974	6.44029689670861	8.38352801761839	4.33461409082985	7.86767363074146	5.21749041248739	7.13687343494892	1.86927907920628	1.34499651193184	3.43593840271781	8.20627676226853	5.38191771900644
FOXQ1	-0.366777476794325	3.78553559733547	5.26685376144395	4.76415173175757	2.19397179039722	5.75039999314814	6.53951789351919	6.87767234570954	4.58549283131388	3.9112876122937	6.80568391579452	7.23010303431047	5.48356671176558
LARP6	5.34725727904437	6.4887067240587	6.01227092134732	4.83473690513379	7.96854710242753	6.34991877095569	8.02230104363746	4.53031934508488	7.94180468295931	4.6444369976166	7.32744942432062	5.25418752657418	3.70744421485789
ASPHD1	5.58862655677449	5.03453002968774	6.47416605182758	4.18470812410751	3.44141982069362	6.82629181399544	5.28235505848002	5.74601383437788	2.5265501982336	7.99514305468438	7.10218374788303	6.65660778370276	7.38118971769749
CRIM1	5.20214467799117	5.62114553631261	5.66266134178752	4.15454003981803	6.08855814343384	3.21585662809999	2.40600706798303	3.18522104573373	4.79501629500985	3.52401863158755	5.15190720174043	5.80122557551077	4.50760808456391
EPSTI1	6.06321766999429	4.69792814567787	3.42328400943219	2.7335666447191	5.20909423076231	1.60375682211797	4.10354222673758	4.3714952477136	4.58196057246163	1.00208639732251	5.33769333550868	5.16414075729312	6.39258163699501
MAP1B	6.90140980515452	10.3128339345995	7.93547331442135	6.40872871066682	12.5400932485425	7.13048389419782	5.04394484943565	4.59695967103626	8.16583235974978	6.43745105314684	7.87947314376001	5.35142896030101	6.00729804659685
MATN2	6.2471164497755	6.05733743051162	6.59367537519552	5.03342619755383	7.5509015635836	3.59313543075599	3.23421275645573	6.44525313575692	4.1259845447574	5.71090730164967	5.9373358186001	8.28893000304049	3.97272764353154
LAPTM4B	10.4021910126547	8.8950101758103	9.57606127183732	8.50722191535982	7.87372680603381	10.582235027687	9.43277009964384	9.65669129210653	11.5514249544351	8.46138761084721	9.95688139326375	10.2939918509825	9.60179925626903
S100A14	5.37387635760052	6.6146391552231	4.51786452240746	7.53370062561274	-2.07576344774432	2.7017410615683	-0.45966327144065	7.93978572947279	5.80230234854858	8.13574693096255	6.26267879887442	7.00221025431722	3.69806885915482
TBC1D2	8.36334344294148	5.72197982938113	8.28657843880897	8.11895225485985	4.84321778047667	5.52689673770187	6.1025768696598	4.1991528933753	5.40214809752026	5.8897130959178	5.05927421935195	7.16496364154935	4.80066263250385
CEP15	6.30431157272044	7.40515077889194	6.55180633330241	5.97659744991392	7.7690610069192	3.91018787853783	8.50151512948647	3.96904078968195	8.04045350604533	9.33718878484711	8.26819934521405	4.27296686006485	4.65370633275807
MECOM	6.2317718484889	6.52492698834834	7.09107290962509	5.57037840397303	3.99216372393754	6.1598178612546	8.14465051998374	7.01649916826527	3.67561380789871	4.79104754170892	7.27209687498767	6.30061803304211	6.05733238229743
EVI2B	5.94050763230834	5.70710652725915	5.96668379875149	4.20352197983972	7.57484517310542	4.02975484154134	5.31278647731823	3.19597233698459	4.07987570944822	3.58324500531915	3.58659550550798	4.58441471738	2.9345675174119
GOLM1	6.11914311611835	6.98398571814081	7.56380004693224	7.57329863589504	4.40610963036563	8.04885990172255	8.36335109402392	9.09253007320779	5.85771736236738	7.3904617468211	8.37396096050489	7.33015834573136	7.29905505029534
RCSD1	3.94314933805151	4.79786264079308	4.54012662791639	3.52946975823879	6.66366292024469	3.78789357433833	3.51056916367383	2.37115269326101	3.7864511264335	2.54600610543534	2.93618978860938	3.24598787451907	2.46246521703389
EXT1	8.65889488734758	7.86890747251505	7.44159851674624	7.49226748849085	7.44049877825526	8.69216395973508	9.4050792381076	7.97758788662853	7.33308900651486	4.86686678919694	7.32843596781695	8.21150968529739	7.22609355184201
ACTN1	7.12254427503237	10.3981032133976	7.68212164353641	8.4227142495246	11.5671574414233	7.43199074091097	5.917340279255	6.15308791641169	8.09657850837492	7.06968611468446	8.07181394894491	8.20095870243177	7.13183877884012
MND1	7.58683853473676	5.20416595047742	7.38910859136996	7.08111850214646	4.45844453875818	7.08066811567327	7.78784437766448	6.74555444281	7.66843849758744	8.05136130709192	6.09579506189143	6.28774757526298	7.88214040198184
DENND2D	6.12131793684777	5.53293010626462	5.53507987762316	5.50248760519504	6.42184666346725	4.04063671266598	6.88691638591073	5.2533782996457	3.59291014056918	6.29148578004858	4.54238633864851	7.88056894801342	4.75160609247845
RRAS	6.47377905595123	8.58480716956265	5.77714318344162	6.88870206975207	9.54215812354017	5.79746202364715	6.18471169373153	5.66314598297545	6.20512628574091	7.44951059908623	6.79024843515141	8.0526135861117	4.72647317758316
MDK	7.08406001729436	7.06671265727204	6.64486228193081	8.01894217944563	5.44250688905775	9.56934064507915	10.1933522719246	8.72210199928137	9.90488721237708	5.43159614417771	8.70196857983229	6.26784483242576	6.96057303329151
TM6SF1	4.14333051042984	4.23964203922393	4.15503364701603	3.33454712070573	5.18521619997013	2.60132866983624	3.90098170949313	2.54536043110969	4.08574175093549	2.64101743421779	5.40925437757538	2.56260494605164	2.47219487140065
NRN1	4.35020178776458	6.47195945777796	4.07080515301301	3.07145103714526	7.31080547949693	3.17210579476418	3.09177644711278	5.95798869691315	5.4293089876862	4.99465844048045	4.6523750263109	4.14490325611096	3.17397392122558
ADA	6.4595442137204	7.20336577195481	7.36776940319357	7.577899724753	7.1197434438898	6.58718837177388	7.2361524738877	6.13862673848822	8.10658786010677	6.51175923160292	7.25978404038323	6.11666808671	8.75378333641731
WLS	5.59775780829812	8.68651500387778	5.58260883051131	7.90333143475578	8.78346907310845	5.4290505972548	3.45879541362035	6.04471782486371	7.40394125728023	2.92497563658591	6.1410875595653	6.84343478985212	5.77475433856331
ME1	8.77496523652926	6.10193662016106	6.94291117173314	7.65235722240966	6.44969802390411	6.38693595171752	6.47275168021188	7.31504787262145	7.36597297792403	3.48225931384746	7.26452847258096	6.96382221718614	7.44117012260676
F3	7.2679651399225	6.27097046937969	7.97218364097634	6.0427404124732	5.01624388808644	5.56559006571829	6.64270888247031	5.49725027254034	7.16765158936278	7.46275752947163	5.22055109606717	7.76471630337571	3.82933195953455
FMNL2	6.14862747663732	6.09583580772502	6.14617322674632	5.61937897371961	7.01078166550966	5.87399467198964	6.13133538526643	4.34356809759901	7.27124524364559	7.38657053366195	6.80056916642347	5.5547614712227	6.66388100745204
TRIM22	4.44211563583828	6.11127715132536	4.1984302339433	2.80811223072832	7.2123122432203	1.84623152821689	3.73558726874431	4.43054405819518	4.60290101928579	4.04279802308469	5.86380033764988	4.03678521461714	2.85700655170947
MEF2C	5.23452514415713	6.10664345114017	5.50775893665152	4.11706112115216	7.67528501837678	4.02345806017433	3.3686219524056	2.05550592727674	4.56322472977275	3.91219861305562	4.80830185724649	3.90427989544847	2.90772894446989
PPM1H	5.62884770023355	5.76621729672343	5.06745135025326	4.88229976452348	5.77219436153981	5.7870450591801	6.40175318146575	3.42392532613622	7.32993926016705	4.78286144809108	5.72813671960065	5.19519442551625	6.91251944629104
S100A2	8.71245833238947	6.00045883029032	5.8485699896753	6.35929095253821	2.52255515324459	4.0735462516604	2.44411297559604	8.3326549910069	4.58084923012758	7.41011857707332	4.80144126410707	7.7172396614348	4.39495525644273
TNFRSF12A	7.19796296301665	7.91454155165709	7.25730523975792	9.00753927191515	6.28094728307494	8.95194400959302	6.98338622757472	7.9698531726487	8.03187369182693	8.1066803860766	7.18766673430628	9.21081484256727	8.69937444812451
FZD6	9.22704897466835	6.82041112147122	7.26247709522182	6.28278659037441	7.02962527663844	5.43784155756724	6.85132717574895	6.99009281889692	6.95345027948088	5.95508054196189	8.94675510876592	7.20966018808193	4.80077383770485
ESRP2	4.6962565280112	5.11538796344209	4.69834271719296	5.14424945114631	1.17359782882541	5.16567170393661	6.33719580988827	5.67321614335668	6.97765746804533	4.1022607425169	5.90507094367288	6.44713308691944	7.11888399712274
S100A6	10.0752806710487	8.71457447494771	8.82020683083713	10.0119156375813	6.42640152265448	8.42194526239441	4.97617602333549	11.3761205844787	5.87169247928894	9.93051919157253	9.38673735913626	10.9011323008998	8.17541488833037
ADM	5.53936957444143	5.04978874792378	8.49754940932018	5.95819413982884	4.91408283696204	8.75840368490999	5.90606173134568	2.91584523978649	7.17995073988835	3.66816609658781	7.71477347112054	5.33069583094114	7.16427662667846
S100A4	6.99500247186517	8.51163383275591	7.9389662529018	6.41109530948647	7.40362436177737	4.83328827466479	6.18580328801756	6.35836555705867	7.45159012570803	6.47149834317816	8.5874981474868	8.62453379019462	5.51602531123003
ADORA2B	4.66486967712265	5.75144811476513	6.80956765794954	8.96119116877904	4.56872620622199	6.6421916027772	3.91439797024811	5.15596560331216	5.77507987961937	7.44063621169124	6.38514240933696	8.30464108954859	9.09880425018454
MET	4.81025596218586	4.63935948643276	3.5400258185287	4.48304678489938	3.85050340095428	4.2763516566649	3.68300788450131	4.45641561392324	5.19565552136619	5.23844070284861	4.30107770095736	8.11231820818207	6.27954185434144
MEST	7.1153548688663	4.27469937371467	3.23113796140322	5.31525661729628	2.39244963053779	6.90119593608644	8.42456048241451	5.17323172138054	8.80967419792503	4.50944435060018	4.63658159399894	5.49346170867137	6.98431577253558
SEMA3A	4.72488035962344	8.02219558613304	4.22633315605386	4.74663230945277	9.5580989322232	5.4272797826534	4.46408949752048	3.46609342195641	8.04857808915077	5.36959765007233	6.17483157145065	6.08360597143779	3.85483636810681
S100A13	10.151227586146	6.71626156624671	7.82580426918348	8.26291231687959	7.44788910074752	6.14356480770552	7.93882461822942	8.70972974947057	8.68669501460031	9.88277480740998	8.7778494140039	9.58614291339421	5.48267322611111
WWC2	4.74617900450048	5.28753932734583	4.94944315432341	4.26260823615552	5.9348293516399	5.85173641582326	5.88359109862	4.14242058612935	6.03776162637934	4.28832953511885	6.56028420282117	3.31215207644609	3.5459690637617
MFAP4	4.54092008177155	5.40042669084301	4.59678020980408	4.73735437612212	7.01134517399545	1.45908250642037	2.62200351190564	3.34062254494291	6.0193962030957	4.42217245867461	4.51571316224378	3.83594754488664	3.8030742444475
FAT1	8.79998111802667	9.66593154755225	9.06110513110169	7.72202985692094	8.15476389553479	6.34833869486813	6.5190952676876	8.45608962226065	8.18605380793667	9.65813122974916	10.3443725167175	11.0551026879799	9.06860910735009
MEX3A	3.09592620823186	4.21907116916696	4.50938676194471	4.97151611425804	3.50207610436368	5.75761169019563	6.05365640352287	3.27833492029351	8.30083013911583	3.19024967013738	4.7598223012125	4.47052875385333	5.65993492774153
EFEMP1	7.67714363470869	8.06423291861436	6.05665911881717	5.54719002179603	8.59894691994008	6.72818052536373	7.67071333270758	2.22067277911868	8.56386952365759	6.46708611122525	6.0628100214729	3.41576616619781	3.74373326203456
DYNLL1	5.8387301362348	7.93460776021003	7.27459353619612	6.37940438583872	9.45198081199631	5.86146582177067	4.85305991266453	4.86072485478887	6.54973660266613	5.23800408080907	7.87533545368208	6.24569189335522	5.39442478252843
MGMT	4.92264419288257	6.42883308318019	6.1697610041682	1.67095749302797	5.45697970774426	5.5951400147715	5.26779909407535	6.30700482406156	6.7765996858468	6.05383711927566	5.80032694320043	5.41902044603568	7.13956272138719
